"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
10100,"Northeast Climate Region",190511,34.2,14,-3.0,37.2
10100,"Northeast Climate Region",190512,27.4,72,1.7,25.7
10100,"Northeast Climate Region",190601,27.9,114,6.6,21.3
10100,"Northeast Climate Region",190602,22.0,52,-0.5,22.5
10100,"Northeast Climate Region",190603,25.7,4,-6.6,32.3
10100,"Northeast Climate Region",190604,43.6,52,-0.2,43.8
10100,"Northeast Climate Region",190605,54.8,49,-0.4,55.2
10100,"Northeast Climate Region",190606,64.7,74,0.7,64
10100,"Northeast Climate Region",190607,68.2,38,-0.7,68.9
10100,"Northeast Climate Region",190608,69.1,105,2.4,66.7
10100,"Northeast Climate Region",190609,61.8,104,2.2,59.6
10100,"Northeast Climate Region",190610,48.4,50,-0.3,48.7
10100,"Northeast Climate Region",190611,35.7,34,-1.5,37.2
10100,"Northeast Climate Region",190612,22.5,24,-3.2,25.7
10100,"Northeast Climate Region",190701,20.4,47,-0.9,21.3
10100,"Northeast Climate Region",190702,15.2,6,-7.3,22.5
10100,"Northeast Climate Region",190703,33.3,81,1.0,32.3
10100,"Northeast Climate Region",190704,39.1,4,-4.7,43.8
10100,"Northeast Climate Region",190705,50.0,3,-5.2,55.2
10100,"Northeast Climate Region",190706,61.2,10,-2.8,64
10100,"Northeast Climate Region",190707,68.0,34,-0.9,68.9
10100,"Northeast Climate Region",190708,64.4,11,-2.3,66.7
10100,"Northeast Climate Region",190709,60.1,67,0.5,59.6
10100,"Northeast Climate Region",190710,44.0,3,-4.7,48.7
10100,"Northeast Climate Region",190711,35.3,28,-1.9,37.2
10100,"Northeast Climate Region",190712,28.3,85,2.6,25.7
10100,"Northeast Climate Region",190801,22.0,70,0.7,21.3
10100,"Northeast Climate Region",190802,18.4,21,-4.1,22.5
10100,"Northeast Climate Region",190803,32.7,71,0.4,32.3
10100,"Northeast Climate Region",190804,42.9,41,-0.9,43.8
10100,"Northeast Climate Region",190805,56.9,91,1.7,55.2
10100,"Northeast Climate Region",190806,65.1,86,1.1,64
10100,"Northeast Climate Region",190807,70.5,102,1.6,68.9
10100,"Northeast Climate Region",190808,65.2,23,-1.5,66.7
10100,"Northeast Climate Region",190809,61.7,103,2.1,59.6
10100,"Northeast Climate Region",190810,50.6,98,1.9,48.7
10100,"Northeast Climate Region",190811,36.4,45,-0.8,37.2
10100,"Northeast Climate Region",190812,24.6,43,-1.1,25.7
10100,"Northeast Climate Region",190901,23.2,86,1.9,21.3
10100,"Northeast Climate Region",190902,26.4,104,3.9,22.5
10100,"Northeast Climate Region",190903,29.6,28,-2.7,32.3
10100,"Northeast Climate Region",190904,42.6,36,-1.2,43.8
10100,"Northeast Climate Region",190905,54.2,41,-1.0,55.2
10100,"Northeast Climate Region",190906,64.6,69,0.6,64
10100,"Northeast Climate Region",190907,66.3,8,-2.6,68.9
10100,"Northeast Climate Region",190908,65.3,25,-1.4,66.7
10100,"Northeast Climate Region",190909,58.5,33,-1.1,59.6
10100,"Northeast Climate Region",190910,45.9,16,-2.8,48.7
10100,"Northeast Climate Region",190911,40.2,105,3.0,37.2
10100,"Northeast Climate Region",190912,22.9,27,-2.8,25.7
10100,"Northeast Climate Region",191001,22.5,75,1.2,21.3
10100,"Northeast Climate Region",191002,20.6,38,-1.9,22.5
10100,"Northeast Climate Region",191003,37.8,114,5.5,32.3
10100,"Northeast Climate Region",191004,48.0,119,4.2,43.8
10100,"Northeast Climate Region",191005,53.6,32,-1.6,55.2
10100,"Northeast Climate Region",191006,61.7,15,-2.3,64
10100,"Northeast Climate Region",191007,69.5,83,0.6,68.9
10100,"Northeast Climate Region",191008,65.5,27,-1.2,66.7
10100,"Northeast Climate Region",191009,59.8,58,0.2,59.6
10100,"Northeast Climate Region",191010,50.0,81,1.3,48.7
10100,"Northeast Climate Region",191011,33.6,9,-3.6,37.2
10100,"Northeast Climate Region",191012,18.9,6,-6.8,25.7
10100,"Northeast Climate Region",191101,23.5,90,2.2,21.3
10100,"Northeast Climate Region",191102,21.4,43,-1.1,22.5
10100,"Northeast Climate Region",191103,28.4,20,-3.9,32.3
10100,"Northeast Climate Region",191104,41.2,16,-2.6,43.8
10100,"Northeast Climate Region",191105,61.2,126,6.0,55.2
10100,"Northeast Climate Region",191106,63.7,47,-0.3,64
10100,"Northeast Climate Region",191107,71.2,108,2.3,68.9
10100,"Northeast Climate Region",191108,67.1,68,0.4,66.7
10100,"Northeast Climate Region",191109,58.9,37,-0.7,59.6
10100,"Northeast Climate Region",191110,47.4,34,-1.3,48.7
10100,"Northeast Climate Region",191111,33.8,12,-3.4,37.2
10100,"Northeast Climate Region",191112,31.0,111,5.3,25.7
10100,"Northeast Climate Region",191201,12.4,2,-8.9,21.3
10100,"Northeast Climate Region",191202,18.6,23,-3.9,22.5
10100,"Northeast Climate Region",191203,27.7,14,-4.6,32.3
10100,"Northeast Climate Region",191204,43.5,50,-0.3,43.8
10100,"Northeast Climate Region",191205,56.4,77,1.2,55.2
10100,"Northeast Climate Region",191206,61.5,13,-2.5,64
10100,"Northeast Climate Region",191207,68.4,44,-0.5,68.9
10100,"Northeast Climate Region",191208,63.2,3,-3.5,66.7
10100,"Northeast Climate Region",191209,59.7,56,0.1,59.6
10100,"Northeast Climate Region",191210,50.1,84,1.4,48.7
10100,"Northeast Climate Region",191211,38.0,74,0.8,37.2
10100,"Northeast Climate Region",191212,29.5,104,3.8,25.7
10100,"Northeast Climate Region",191301,30.2,122,8.9,21.3
10100,"Northeast Climate Region",191302,20.2,35,-2.3,22.5
10100,"Northeast Climate Region",191303,35.9,106,3.6,32.3
10100,"Northeast Climate Region",191304,45.8,94,2.0,43.8
10100,"Northeast Climate Region",191305,53.6,32,-1.6,55.2
10100,"Northeast Climate Region",191306,63.2,32,-0.8,64
10100,"Northeast Climate Region",191307,68.6,49,-0.3,68.9
10100,"Northeast Climate Region",191308,66.3,46,-0.4,66.7
10100,"Northeast Climate Region",191309,58.0,22,-1.6,59.6
10100,"Northeast Climate Region",191310,51.9,114,3.2,48.7
10100,"Northeast Climate Region",191311,39.5,94,2.3,37.2
10100,"Northeast Climate Region",191312,29.0,100,3.3,25.7
10100,"Northeast Climate Region",191401,20.8,52,-0.5,21.3
10100,"Northeast Climate Region",191402,14.5,4,-8.0,22.5
10100,"Northeast Climate Region",191403,29.6,28,-2.7,32.3
10100,"Northeast Climate Region",191404,40.8,12,-3.0,43.8
10100,"Northeast Climate Region",191405,57.1,95,1.9,55.2
10100,"Northeast Climate Region",191406,62.9,25,-1.1,64
10100,"Northeast Climate Region",191407,66.9,15,-2.0,68.9
10100,"Northeast Climate Region",191408,66.6,54,-0.1,66.7
10100,"Northeast Climate Region",191409,58.2,25,-1.4,59.6
10100,"Northeast Climate Region",191410,51.6,111,2.9,48.7
